Polymer Number,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,REA,Generation,Gelation
326,100,0,0,0,0,0,0.2,0.3,0.5,3.860462609,0,0
327,100,0,0,0,0.65,0,0,0.3,0.05,13.38221815,0,0
328,100,0,0,0,0.6,0,0,0.3,0.1,23.68577128,0,0
329,100,0,0,0,0.55,0,0,0.3,0.15,17.98134469,0,0
330,100,0,0,0,0.5,0,0,0.3,0.2,7.672399849,0,0
331,100,0,0,0,0.45,0,0,0.3,0.25,1.860139106,0,0
332,100,0,0,0,0.4,0,0,0.3,0.3,0.5,0,0
333,100,0,0,0,0.35,0,0,0.3,0.35,2.016498625,0,0
334,100,0,0,0,0.3,0,0,0.3,0.4,2.043457163,0,0
335,100,0,0,0,0.25,0,0,0.3,0.45,3.121798674,0,0
336,100,0,0,0,0.2,0,0,0.3,0.5,1.843963983,0,0
337,50,0.1,0.2,0,0,0,0.5,0.2,0,-0.145558009,0,0
338,50,0.1,0.2,0,0,0,0.55,0.15,0,-0.469630557,0,0
339,50,0.1,0.2,0,0,0,0.6,0.1,0,1.568181569,0,0
340,50,0.1,0.2,0,0,0,0.65,0.05,0,9.505212625,0,0
341,50,0.1,0.2,0,0,0,0.7,0,0,4.759472256,0,0
342,50,0.1,0,0,0,0,0.5,0.4,0,-0.002746378,0,0
343,50,0.1,0,0,0,0,0.55,0.35,0,-0.782717595,0,0
344,50,0.1,0,0,0,0,0.6,0.3,0,-0.359775456,0,0
345,50,0.1,0,0,0,0,0.65,0.25,0,-0.612442189,0,0
346,50,0.1,0,0,0,0,0.7,0.2,0,-0.601456679,0,0
347,50,0,0.3,0,0,0,0.5,0.2,0,-0.425688517,0,0
348,50,0.05,0.25,0,0,0,0.5,0.2,0,-1.952674422,0,0
349,50,0.1,0.2,0,0,0,0.5,0.2,0,-2.040558503,0,0
350,50,0.15,0.15,0,0,0,0.5,0.2,0,-0.645398719,0,0
351,50,0.2,0.1,0,0,0,0.5,0.2,0,0.184007294,0,0
352,50,0.25,0.05,0,0,0,0.5,0.2,0,-1.425369937,0,0
353,50,0.3,0,0,0,0,0.5,0.2,0,1.463819222,0,0
354,50,0.1,0.2,0,0,0,0,0.7,0,-1.760427995,0,0
355,50,0.1,0.2,0,0,0,0.05,0.65,0,-1.436355447,0,0
356,50,0.1,0.2,0,0,0,0.1,0.6,0,-1.787891771,0,0
357,50,0.1,0.2,0,0,0,0.15,0.55,0,-1.820848301,0,0
358,50,0.1,0.2,0,0,0,0.2,0.5,0,-1.639587384,0,0
359,50,0.1,0.2,0,0,0,0.25,0.45,0,-1.21115249,0,0
360,50,0.1,0.2,0,0,0,0.3,0.4,0,-1.403398917,0,0
361,50,0.1,0.2,0,0,0,0.35,0.35,0,-1.018906063,0,0
362,50,0.1,0.2,0,0,0,0.4,0.3,0,-1.310022081,0,0
363,50,0.090909091,0.181818182,0,0,0,0.409090909,0.318181818,0,-1.430862692,0,0
364,50,0.1,0.2,0,0.5,0,0,0.2,0,10.53785058,0,0
